trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-134.09749479929735,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-212.21419196353392,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-92.94264387643928,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-127.18564775263988,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,11,-64.62121382052365,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.43183590289972,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-117.11882263010308,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-143.7915288734998,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-117.8308319694918,"{0: 28, 1: 1, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,20,-39.11797272759945,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-142.0149716426847,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-36.327792707712455,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-16.438427726332094,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-38.910157785057706,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-59.44726240601986,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
