trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99987660542401369, 'a': 0.5}",25,0,-130.20516269761583,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
2,False,"{'e': 0.99986498639714561, 'a': 0.5}",30,0,-178.73691349764803,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
3,False,"{'e': 0.99985227346612104, 'a': 0.5}",20,0,-187.80226150356776,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,False,"{'e': 0.9998383636742999, 'a': 0.5}",20,0,-21.225773302026305,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
5,False,"{'e': 0.99982314438120001, 'a': 0.5}",25,0,-98.62557574679425,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'e': 0.99980649235289876, 'a': 0.5}",20,0,-86.2476296643388,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'e': 0.99978827276724092, 'a': 0.5}",35,0,-76.36956511775337,"{0: 25, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,False,"{'e': 0.99976833812592125, 'a': 0.5}",25,0,-126.52855970135624,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'e': 0.99974652706478351, 'a': 0.5}",35,0,-226.51988927165905,"{0: 19, 1: 9, 2: 2, 3: 1, 4: 4}",0
10,False,"{'e': 0.99972266305287927, 'a': 0.5}",30,0,-152.40029893273692,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'e': 0.99969655296997117, 'a': 0.5}",30,2,-85.59707859490216,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 0}",1
12,False,"{'e': 0.99966798555122149, 'a': 0.5}",20,0,-108.21300934423098,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
13,False,"{'e': 0.99963672968678186, 'a': 0.5}",20,0,-50.09822631097014,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'e': 0.999602532562891, 'a': 0.5}",20,0,-105.8054901647222,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'e': 0.99956511762987899, 'a': 0.5}",20,0,-96.15212887445304,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'e': 0.99952418238116159, 'a': 0.5}",20,0,-57.76099256838268,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'e': 0.99947939592588908, 'a': 0.5}",25,0,-60.43914622807366,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'e': 0.99943039633636832, 'a': 0.5}",25,0,-107.95651543412131,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'e': 0.99937678774971195, 'a': 0.5}",20,0,-79.22884498963626,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
