trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99330714907571527}",20,9,-95.69565621554287,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.99296641284500486}",30,0,-227.2449894254612,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.99260845865571812}",25,0,-146.02914482046492,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9922324299219849}",20,0,-144.57010580991167,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99183742884684012}",20,0,-105.83219836040077,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.99142251458628805}",20,0,-75.77703983562046,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99098670134715205}",30,12,-42.9730959921045,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.99052895641805383}",30,10,-138.70154325777486,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.99004819813309575}",25,3,-177.6205352410309,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 4}",1
10,False,"{'a': 0.5, 'e': 0.98954329376808181}",25,0,-82.85300159451425,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.98901305736940681}",20,0,-151.2862458281736,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.98845624751607775}",25,0,-141.41152404449866,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.98787156501572571}",30,0,-190.55776751903545,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.98725765053588843}",25,0,-199.550236150675,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.98661308217233512}",20,0,-91.40404173987159,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9859363729567544}",20,0,-216.34533532688957,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.98522596830672693}",25,0,-106.48929527164086,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.98448024342159113}",20,4,-43.30721854167794,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9836975006285591}",20,0,-46.1298024949163,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.98287596668427235}",25,7,-79.572219455894,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.98201379003790845}",30,0,-162.24902078984536,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9811090380629609}",20,6,-28.60260290010211,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.98015969426592253}",30,0,-150.1431029280563,"{0: 18, 1: 6, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.97916365548131956}",20,0,-25.819939649182807,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.97811872906386943}",30,0,-201.86578070292566,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.97702263008997436}",30,0,-218.36377457311315,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9758729785823308}",30,0,-111.58289995751996,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.97466729677312836}",20,11,-81.55258903962503,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.97340300642313404}",30,0,-138.86787748871382,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.97207742621592708}",25,0,-208.63178744759588,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.97068776924864364}",30,0,-116.9937645678782,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.96923114064285198}",20,10,-38.596579375894656,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.96770453530154954}",25,0,-108.69811210965656,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.96610483584082185}",25,0,-152.38484681015842,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.96442881072736386}",20,0,-125.55985388513017,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.96267311265587063}",30,0,-179.4718799255793,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.96083427720323566}",25,0,-123.54071659940576,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.95890872179953501}",30,0,-271.1436786179657,"{0: 11, 1: 7, 2: 7, 3: 1, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.95689274505891386}",25,0,-111.18176335280326,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.95478252651671247}",25,0,-168.2307891480312,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.95257412682243336}",20,0,-143.82393705241932,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.95026348844144337}",20,0,-68.2812230600084,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.94784643692158232}",20,0,-59.1864730836912,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.94531868278405917}",30,0,-90.93107722949433,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.94267582410113127}",30,0,-137.19358156111429,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.93991334982599239}",20,0,-107.19329612649543,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9370266439430035}",20,0,-111.73909444403664,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.93401099050878122}",20,0,-132.25339971562462,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
