trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99330714907571527}",20,3,-52.3894296982949,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.2, 'e': 0.99260845865571812}",25,0,-221.64181899876777,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.99183742884684012}",20,3,-100.97722706296814,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.2, 'e': 0.99098670134715205}",20,0,-80.97824418884986,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.99004819813309575}",20,0,-46.11657168026027,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.98901305736940681}",20,0,-90.9551063644712,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.98787156501572571}",25,0,-169.9635918833859,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.98661308217233512}",20,0,-138.7317330556378,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.98522596830672693}",20,0,-110.54334219937516,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9836975006285591}",30,0,-202.7808351988197,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.98201379003790845}",20,0,-99.58672253997273,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.98015969426592253}",30,16,-41.345266344731144,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.97811872906386943}",20,0,-160.45082435097422,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9758729785823308}",30,9,-95.93561917700677,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.97340300642313404}",20,0,-100.6565062040312,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.97068776924864364}",25,0,-192.97882751624834,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.2, 'e': 0.96770453530154954}",30,0,-99.83737635955333,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.96442881072736386}",20,0,-87.90326036113152,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.96083427720323566}",20,7,-67.0852181332856,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.2, 'e': 0.95689274505891386}",30,0,-144.5772936832072,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.95257412682243336}",20,9,-18.965217669883963,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.94784643692158232}",30,20,-13.647230096788618,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.94267582410113127}",25,0,-90.44436214877857,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.9370266439430035}",20,0,-69.96167222915106,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.93086157965665328}",20,0,-178.32632110356224,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
26,False,"{'a': 0.2, 'e': 0.92414181997875655}",20,0,-27.369582569263862,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.91682730350607766}",20,0,-93.50093025526584,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.90887703898514383}",20,0,-72.82528212459559,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.9002495108803148}",20,4,-30.534330228474634,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.89090317880438707}",25,0,-109.42130426731555,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.88079707797788231}",20,0,-99.29673798026498,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.86989152563700212}",20,0,-24.33699202932816,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.85814893509951229}",20,0,-41.525094582979776,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.84553473491646525}",20,0,-72.15465589511732,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.83201838513392445}",20,0,-73.03200727552272,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.81757447619364365}",20,0,-94.95438036546061,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.8021838885585818}",30,0,-166.48659750455738,"{0: 17, 1: 5, 2: 2, 3: 5, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.78583498304255861}",30,0,-77.13655380760224,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.76852478349901776}",25,0,-152.79101545267403,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
40,False,"{'a': 0.2, 'e': 0.75026010559511769}",25,0,-54.422919801838155,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.7310585786300049}",20,0,-108.05768110477864,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
42,False,"{'a': 0.2, 'e': 0.71094950262500389}",25,0,-121.80880862167294,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.2, 'e': 0.6899744811276125}",20,0,-74.71113274768275,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.66818777216816616}",20,0,-2.285915488441922,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.6456563062257954}",25,16,-22.816551365127548,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.62245933120185459}",30,0,-124.47433782466572,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.598687660112452}",20,1,-9.322925682767934,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.57444251681165903}",20,13,12.344863541328618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.54983399731247795}",20,2,-66.79535047785112,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.52497918747894001}",20,0,-41.15446442567851,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.5}",20,0,7.409247947966441,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.47561471225035701}",35,27,0.7040636092264849,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.45241870901797976}",20,5,-41.65727170649147,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
54,False,"{'a': 0.2, 'e': 0.4303539882125289}",20,8,-28.899214721119822,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.2, 'e': 0.40936537653899091}",20,13,-10.94670481768512,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.38940039153570244}",25,12,7.91167244840955,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.37040911034085894}",25,11,-54.79761366986761,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.35234404485935672}",25,14,3.6110994050892615,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.33516002301781966}",30,1,-3.8690020025981235,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.31881407581088667}",20,9,2.021448181935569,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.30326532985631671}",35,13,13.593852383179971,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.28847490519024332}",20,6,23.23727190453309,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.27440581804701319}",35,0,-18.262645408994743,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.26102288838050802}",25,12,-1.601207707171961,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.24829265189570474}",25,17,-39.10914047990779,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.2, 'e': 0.23618327637050734}",20,6,10.408706595668189,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.22466448205861078}",20,0,-18.66551566323777,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.21370746597436333}",20,12,-4.689715577733047,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.20328482987029955}",20,0,21.767717358391145,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.19337051172725059}",25,7,-38.52814732597395,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
71,False,"{'a': 0.2, 'e': 0.18393972058572117}",20,7,22.412639483054317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.17496887455557766}",30,18,-19.914231992047725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.2, 'e': 0.16643554184903978}",25,12,21.729910360505865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.15831838468952658}",20,13,13.37045429472039,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.15059710595610101}",20,6,27.489825349044477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.14325239843009505}",25,13,-7.4968050178783,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.1362658965170063}",30,14,0.696084137662202,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.12962013032294575}",20,0,16.65415921175372,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.12329848197080322}",20,12,-27.69485134967432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.11728514404689881}",20,11,7.141706974566894,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.11156508007421491}",30,20,19.193577675499487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.10612398691337152}",25,13,18.68077139569564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.10094825899732769}",25,15,17.880169720846318,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.096024954310377039}",20,8,21.875419312121164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.091341762026367304}",25,19,8.917765346526817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.08688697172522257}",25,8,19.21348717053889,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.082649444110793266}",20,14,-2.105419956513223,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.078618583156813804}",20,9,15.40526745947758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.074784309611317518}",30,18,22.354857921954896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.071137035793256767}",20,11,13.319850777300214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.067667641618306351}",25,11,25.63807097339132,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.064367451793902089}",25,13,25.357753735432887,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.061228214126490953}",20,4,24.96208662078522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.058242078886748483}",20,12,0.5997818199874279,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.055401579181166935}",20,12,14.483954495789396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.052699612280932166}",20,15,9.141833667323173,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
