trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",30,0,-105.53822584472356,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-117.93465354574361,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-178.54550875868364,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-55.1717585234238,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-153.57375916423595,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-140.18495825646178,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-248.05263939448687,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,11,-54.50716476200013,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-29.0906404962382,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-88.94733611550815,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-209.48492395585404,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,0,-123.53496999872249,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,0,-191.99358050565448,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,0,-250.11296378148015,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 5}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",30,0,-210.62682730424402,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-132.7221988875988,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-148.4991188529297,"{0: 6, 1: 2, 2: 11, 3: 0, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-108.35740309532358,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-150.7797812917589,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
20,False,"{'e': 0, 'a': 0.5}",20,0,-31.088375604924206,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,-139.2840048037707,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
2,True,"{'e': 0, 'a': 0}",25,0,-196.60965179874282,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",20,0,-72.30389904804323,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",20,7,-70.19424760671222,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,True,"{'e': 0, 'a': 0}",35,0,-147.20445228636197,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,True,"{'e': 0, 'a': 0}",25,0,-221.07793230298495,"{0: 8, 1: 6, 2: 8, 3: 0, 4: 3}",0
7,True,"{'e': 0, 'a': 0}",20,0,-183.04182539856595,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
8,True,"{'e': 0, 'a': 0}",30,0,-191.60589753953064,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
9,True,"{'e': 0, 'a': 0}",20,0,-85.47852535693666,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,True,"{'e': 0, 'a': 0}",25,0,-187.1045638347373,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
